feat,ret,n_days,n_obs,ic_mean,ic_std,ir,hit_rate,ic_p5,ic_p95,pillar,verdict
event_mention_surge,fwd_ret_1,486,945607,-0.004180808707923361,0.03333940010908896,-0.12540143776563012,0.5493827160493827,-0.06015719506811463,0.05197198610887703,event,REJECT
event_mention_cnt_5d,fwd_ret_1,491,945607,-0.006469671890597309,0.05029470039501299,-0.12863526056989524,0.5641547861507128,-0.09313868253887347,0.07527185646020966,event,WEAK
event_post_main_ratio_5d,fwd_ret_1,488,945607,-0.006719922260861495,0.03935805614866567,-0.17073816439202666,0.5614754098360656,-0.07188939060566202,0.054148833581319424,event,WEAK
event_news_ratio_5d,fwd_ret_1,491,945607,-0.007177942373294644,0.03950910661052492,-0.18167817470675218,0.560081466395112,-0.07302200210863058,0.06003802291038822,event,WEAK
event_mention_cnt_20d,fwd_ret_1,503,945607,-0.007195160335937542,0.07105689224567648,-0.10125914754420375,0.5526838966202783,-0.11739386874694845,0.1060109378332558,event,WEAK
event_sent_score_5d,fwd_ret_20,484,908906,-0.0010399226423433944,0.03620857483950636,-0.028720341713332452,0.5103305785123967,-0.06437508642886623,0.059180559592347984,event,REJECT
event_mention_cnt_1d,fwd_ret_20,484,908906,-0.010304222233107375,0.03533123128189235,-0.2916462817526658,0.6074380165289256,-0.06988562805256765,0.04572833194776929,event,WEAK
event_post_main_ratio_5d,fwd_ret_20,484,908906,-0.010422261432604708,0.03231180175416393,-0.32255277845227626,0.6425619834710744,-0.06466620175230611,0.04644788868399329,event,WEAK
event_mention_surge,fwd_ret_20,484,908906,-0.010848695210098555,0.0343388527048828,-0.31593062538620953,0.6053719008264463,-0.06798974003500212,0.044219696773103175,event,WEAK
event_news_ratio_5d,fwd_ret_20,484,908906,-0.015349095095183998,0.03780042586840466,-0.40605614202916906,0.6487603305785123,-0.07801537290855388,0.0458497102138123,event,STRONG
event_mention_cnt_5d,fwd_ret_20,484,908906,-0.01869483299561632,0.044775039989574994,-0.41752800220768205,0.6673553719008265,-0.09078963196530503,0.05507474009312274,event,STRONG
event_mention_cnt_20d,fwd_ret_20,484,908906,-0.023653234716876713,0.05040040556702071,-0.46930643614411915,0.6714876033057852,-0.11245896951453181,0.053156144268146244,event,STRONG
event_sent_score_5d,fwd_ret_5,488,937852,-0.0035376085422000572,0.03249099444069341,-0.1088796635220673,0.5409836065573771,-0.05576081032492803,0.050181495499027014,event,REJECT
event_mention_cnt_1d,fwd_ret_5,486,937852,-0.006729789599602991,0.038746823612152495,-0.17368622695286615,0.5555555555555556,-0.07103613730842032,0.05451962643926188,event,WEAK
event_post_main_ratio_5d,fwd_ret_5,488,937852,-0.00699027692649732,0.03880747546842567,-0.1801270719654184,0.5942622950819673,-0.06911536527224463,0.05813453829692939,event,WEAK
